Color,Riviera,Harlequin,Type,Qty,Value,,Total:
Antique Gold (1969-1973),,,"10"" plate",1,$15.00,,"$3,911.00"
Antique Gold (1969-1973),,,"7"" plate",1,$5.00,,
Antique Gold (1969-1973),,,fruit bowl,1,$7.00,,
Apricot (1986-1998),,,"10"" plate",1,$15.00,,
Apricot (1986-1998),,,"7"" plate",1,$8.00,,
Black (1986-2015),,,"10"" plate",1,$15.00,,
Black (1986-2015),,,T&J mug,1,$10.00,,
cat-face black (2003-2005),,,T&J mug,1,$35.00,,
Chartreuse (1951-1959),,,"10"" Plate",1,$15.00,,
Cinnabar (2000-2010),,,"10"" plate",1,$15.00,,
Cinnabar (2000-2010),,,"7"" plate",1,$8.00,,
Cinnabar (2000-2010),,,"7"" bowl",1,$8.00,,
Cinnabar (2000-2010),,,T&J mug,1,$10.00,,
Claret (2016-),,,"10"" plate",1,$15.00,,
Claret (2016-),,,"7"" plate",1,$8.00,,
Claret (2016-),,,"7"" bowl",1,$9.00,,
Claret (2016-),,,T&J mug,1,$10.00,,
Cobalt (1986-),,,"10"" plate",1,$15.00,,
Cobalt (1986-),,,T&J mug,1,$10.00,,
Cobalt(1936-1951),,,saucer,1,$5.00,,
Daffodil(2017-),,,"10"" Plate",1,$15.00,,
Daffodil(2017-),,,"7"" plate",1,$8.00,,
Daffodil(2017-),,,"7"" bowl",1,$9.00,,
Daffodil(2017-),,,T&J mug,1,$10.00,,
Flamingo(2012-2013),,,"10"" plate",1,$15.00,,
Flamingo(2012-2013),,,"7"" bowl",1,$9.00,,
Flamingo(2012-2013),,,"canniser,small",1,$12.00,,
Flamingo(2012-2013),,,T&J mug,1,$10.00,,
Forest Green (1951-1959),,,"10"" Plate",1,$20.00,,
Forest Green (1951-1959),,,"Nappy 8.5""",1,$65.00,,
Grey (1951-1959),,,Gravy Boat,1,$95.00,,
Heather (2006-2009),,,"10"" plate",0,,,
Heather (2006-2009),,,"7"" plate",1,$8.00,,
Heather (2006-2009),,,"10"" plate",1,$20.00,,
Heather (2006-2009),,,"7"" bowl",1,$9.00,,
Ivory (2008-),,,"10"" plate",0,,,
Ivory (2008-),,,"7"" plate",0,,,
Ivory (2008-),,,"7"" bowl",1,$9.00,,
Ivory(1936-1951),,,cream soup,1,$25.00,,
Ivory(1936-1951),1,,batter jug,1,$65.00,,
Juniper (1999-2001),,,"10"" plate",1,$15.00,,
Juniper (1999-2001),,,range salt and pepper,2,$15.00,,
Juniper (1999-2001),,,"7"" bowl",0,,,
Juniper (1999-2001),,,gravy Boat,1,$15.00,,
Lapis (2013-),,,"10"" plate",1,$15.00,,
Lapis (2013-),,,"7"" plate",0,,,
Lapis (2013-),,,"7"" bowl",0,,,
Lapis (2013-),,,C-mug,1,$10.00,,
Lemongrass (2009-),,,"10"" plate",1,$15.00,,
Lemongrass (2009-),,,"7"" plate",0,,,
Lemongrass (2009-),,,"7"" bowl",1,$9.00,,
Lemongrass (2009-),,,mini disk pitcher,1,$15.00,,
Lemongrass (2009-),,,C-mug,1,$10.00,,
Light Green(1936-1951),,,carafe,1,$375.00,,
Light Green(1936-1951),,,"10"" plate",1,$15.00,,
Light Green(1936-1951),,,"7"" plate",1,$12.00,,
Light Green(1936-1951),1,,sugar,1,$20.00,,
Light Green(1936-1951),1,,creamer,2,$40.00,,
Light Green(1936-1951),1,,salt and pepper,1,$20.00,,
Lilac (1993-1995),,,"10"" plate",1,$60.00,,
Lilac (1993-1995),,,T&J mug,1,$25.00,,
Lilac (1993-1995),,,teacup,2,$60.00,,
Lilac (1993-1995),,,teapot,1,$200.00,,
Lilac (1993-1995),,,"7"" bowl",1,$45.00,,
Lilac (1993-1995),,,"7"" plate",1,$30.00,,
Marigold (2011-2012),,,"10"" plate",0,,,
Marigold (2011-2012),,,"7"" plate",0,,,
Marigold (2011-2012),,,"7"" bowl",1,$15.00,,
Marigold (2011-2012),,,"Cannister,large",1,$50.00,,
Marigold (2011-2012),,,T&J mug,1,$15.00,,
Medium Green (1959-1969),,,Individual Salad,1,$165.00,,
Paprika (2010-),,,"10"" plate",1,$15.00,,
Paprika (2010-),,,"7"" plate",0,,,
Paprika (2010-),,,"7"" bowl",0,,,
Peacock (2005-2015),,,"10"" plate",1,$15.00,,
Peacock (2005-2015),,,"7"" plate",2,$16.00,,
Peacock (2005-2015),,,"7"" bowl",1,$9.00,,
Peacock (2005-2015),,,T&J mug,1,$10.00,,
Peacock (2005-2015),,,Disk Pitcher,1,$30.00,,
Pearl Gray(1999-2001),,,"10"" plate",0,,,
Pearl Gray(1999-2001),,,"7"" plate",1,$10.00,,
Pearl Gray(1999-2001),,,"7"" bowl",0,,,
Periwinkle (1989-2006),,,"10"" plate",1,$15.00,,
Periwinkle (1989-2006),,,"7"" plate",1,$8.00,,
Periwinkle (1989-2006),,,"7"" bowl",1,$9.00,,
Periwinkle (1989-2006),,,T&J mug,1,$10.00,,
Persimmon (1995-2008),,,"10"" plate",1,$20.00,,
Persimmon (1995-2008),,,"7"" plate",1,$8.00,,
Persimmon (1995-2008),,,demitasse cup/saucer,1,$12.00,,
Persimmon (1995-2008),,,"7"" bowl",0,,,
Plum (2002-2016),,,"10"" plate",1,$15.00,,
Plum (2002-2016),,,"7"" plate",1,$8.00,,
Plum (2002-2016),,,"7"" bowl",1,$9.00,,
Plum (2002-2016),,,C-mug,1,$10.00,,
Poppy (2014-),,,"10"" plate",1,$15.00,,
Poppy (2014-),,,"7"" plate",0,,,
Poppy (2014-),,,"7"" bowl",1,$9.00,,
Poppy (2014-),,,square serving,1,$30.00,,
Poppy (2014-),,,C-mug,1,$10.00,,
Red (orange red),,,"10"" plate",1,$15.00,,
Red (orange red),,,"7"" plate",1,$15.00,,
Red (orange red),,,"7"" bowl",0,,,
Red(1936-1943),,1,"10"" plate",1,$25.00,,
Red(1936-1943),,,"9"" plate",1,$16.00,,
Red(1936-1943),,1,teapot,1,$130.00,,
Red(1936-1943),,,coffeepot,1,$250.00,,
Red(1936-1943),,1,oatmeal bowl,1,$50.00,,
Rose (1951-1959),,1,creamer,1,$20.00,,
Rose (1951-1959),,,,,,,
Rose (1951-1959),,,nappy bowl,1,$50.00,,
Rose (1951-1959),,1,teacup,1,$30.00,,
Rose (1986-2005),,,"10"" plate",1,$15.00,,
Rose (1986-2005),,,"7"" plate",0,,,
Rose (1986-2005),,,"7"" bowl",0,,,
Rose (1986-2005),,,T&J mug,1,$10.00,,
Sage(2015-),,,"10"" plate",1,$15.00,,
Sage(2015-),,,"7"" plate",0,,,
Sage(2015-),,,"7"" bowl",0,,,
Sage(2015-),,,T&J mug,1,$10.00,,
Sage(2015-),,,C-mug,,,,
Sapphire(1996-1997),,,"10"" plate",1,$75.00,,
Sapphire(1996-1997),,,"7"" plate",0,,,
Sapphire(1996-1997),,,"7"" bowl",0,,,
Scarlet (2004-),,,"10"" plate",1,$15.00,,
Scarlet (2004-),,,"7"" plate",1,$8.00,,
Scarlet (2004-),,,"7"" bowl",1,$9.00,,
Scarlet (2004-),,,T&J mug,1,$10.00,,
Scarlet (2004-),,,Baking Bowl set,1,$200.00,,
Scarlet (2004-),,,C-mug,1,$10.00,,
Sea Mist (1991-2005),,,"10"" plate",1,$15.00,,
Sea Mist (1991-2005),,,"7"" plate",0,,,
Sea Mist (1991-2005),,,"7"" bowl",0,,,
Shamrock (2002-),,,"10"" plate",1,$15.00,,
Shamrock (2002-),,,"7"" plate",1,$8.00,,
