Color,Dinner Plate,Salad Plate,T&J Mug,Coffee Mug,"7"" Cereal",Saucer,Teacup,Pitchers,Creamer/Sugar,Gravy Boat,Salt&Pepper,Butter,Serving Bowl,Jug,Carafe,,,,,,,,,
Red (orange red),1,1,,,,,,,,,,,,,,,,,,,,,,
Blue (cobalt),,,,,,1,,,,,,,,,,,,,,,,,,
Yellow,,,,,,1,,1 - medium ,,,,,,,,,,,,,,,,
Old Ivory,,,,,,,,,1,,,,,,,,,,,,,,,
Turquoise,,,,,,1,,,,,,,,1,,,,,,,,,,
Rose,,,,,,2,,,,,,,,,,,,,,,,,,
Gray,,,,,,,,,,,,,,,,,,,,,,,,
Green/Original Green,,1,,,,1,,,,,,,,,1,,,,,,,,,
Forest Green,,,,,,1,,,,,,,,,,,,,,,,,,
Chartreuse,,,,,,,,,,,,,,,,,,,,,,,,
Medium Green,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Turf Green (1969-1973),,,,,,,,,,,,,,,,,,,,,,,,
Antique Gold (1969-1973),1,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Rose (1986-2005),1,,1,,,,2,,,,,,,,,,,,,,,,,
Black (1986-2015),,,1,,,,,,,,,,,,,,,,,,,,,
Cobalt (1986-),1,,1,,,,,,,,,,,,,,,,,,,,,
White (1986-),1,,,,,,,,,,,,,,,,,,,,,,,
Apricot (1986-1998).,1,1,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Yellow (1987-2002),1,1,,,,,,,,,,,,,,,,,,,,,,
Turquoise (1988-),1,,,1,1,1,,,,,1 - ball,,,,,,,,,,,,,
Periwinkle (1989-2006),1,1,1,,1,,,,,,,,,,,,,,,,,,,
Sea Mist (1991-2005),1,,,,,,,,,,,,,,,,,,,,,,,
Lilac (1993-1995),1,1,,,2,1,2,,,,,,,,,,,,,,,,,
Persimmon (1995-2008),1,1,,,,,,,,,,,,,,,,,,,,,,
Sapphire(1996-1997),1,,,,,,,,,,,,,,,,,,,,,,,
Chartreuse (1997-1999),1,,,,,,,,,,,,,,,,,,,,,,,
Pearl Gray(1999-2001),,,,,,,,,,,,,,,,,,,,,,,,
Juniper (1999-2001),1,,,,,,,,,1,1 - range,,,,,,,,,,,,,
Cinnabar (2000-2010),1,1,1,,,,,,1,,,,,,,,,,,,,,,
Sunflower (2001-),1,1,,1,,,,,,,,,,,,,,,,,,,,
Plum (2002-2016),1,1,,1,1,,1,,,,,,,,,,,,,,,,,
Shamrock (2002-),1,2,1,,,,,,,,,,,,,,,,,,,,,
Tangerine (2003-),1,1,1,,1,,,,,,,,,,,,,,,,,,,
Scarlet (2004-),1,1,,1,1,,1,,,,,,1 - 2qt,,,,,,,,,,,
Peacock (2005-2015),1,2,1,,1,1,1,1,,,,,,,,,,,,,,,,
Heather (2006-2009),1,1,,,1,,,,,,,,,,,,,,,,,,,
Evergreen (2007-2009),,,,,,,,,,,,,,,,,,,,,,,,
Ivory (2008-),,,,,1,,,,,,,,,,,,,,,,,,,
Chocolate (2008-2012),,,,,,,,,,,,,,,,,,,,,,,,
Lemongrass (2009-),1,,,1,1,,,1 - mini,,,,1,,,,,,,,,,,,
Paprika (2010-),1,,,,,,,,,,,,,,,,,,,,,,,
Marigold (2011-2012),,,1,,1,,,,,,,,,,,,,,,,,,,
Flamingo(2012-2013),1,,1,,1,,,,,,,,,,,,,,,,,,,
Lapis (2013-),1,,,1,,,,,,,,,,,,,,,,,,,,
Poppy (2014-),1,,,1,1,,,,,,,,,,,,,,,,,,,
Sage(2015-),1,,,,,,,,,,,,,,,,,,,,,,,
Slate (2015-),1,,,,,,,,,,,,,,,,,,,,,,,
Claret (2016-),1,,,,,,,,,,,,,,,,,,,,,,,
Foundry (2016-),,,,,,,,,,,,,,,,,,,,,,,,
Daffodil (2017),1,1,,1,,,,,,,,,,,,,,,,,,,,
Meadow (2019),1,1,,1,,,,,,,,,,,,,,,,,,,,
Peony (2022),1,1,,1,,,,,,,,,,,,,,,,,,,,
Jade (2023),1,1,,1,,,,,,,,,,,,,,,,,,,,
Sky (2024),1,1,,1,,,,,,,,,,,,,,,,,,,,
Linen (2025),,,,,,,,,,,,,,,,,,,,,,,,
Lavender (2026),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
total,36,22,10,12,15,11,7,1,2,1,0,1,0,1,1,,,,,,,,,
